County,PQI12_UTI_AGE_LT_65,PQI11_BCTRL_PNA_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40,BENES_TOTAL_CNT
CA-Monterey,,,,73816
CA-Napa,,,,32094
CA-Nevada,,,,31803
CA-Orange,,,,585248
CA-Placer,,,,98182
CA-Plumas,,,,6803
CA-Riverside,,,,436200
CA-Sacramento,,,,290673
CA-San Benito,,,,10580
CA-San Bernardino,,,,341101
CA-San Diego,,,,606776
CA-San Francisco,,,,160739
CA-San Joaquin,,,,126613
CA-San Luis Obispo,,,,73226
CA-San Mateo,,,,141301
CA-Santa Barbara,,,,85713
CA-Santa Clara,,,,303511
CA-Santa Cruz,,,,58262
CA-Shasta,,,,50190
CA-Sierra,,,,914
CA-Siskiyou,,,,14464
CA-Solano,,,,90937
CA-Sonoma,,,,119326
CA-Stanislaus,,,,95790
CA-Sutter,,,,19067
CA-Tehama,,,,15708
CA-Trinity,,,,3691
CA-Tulare,,,,70148
CA-Tuolumne,,,,17023
CA-UNKNOWN,,,,*
CA-Ventura,,,,173007
CA-Yolo,,,,36361
CA-Yuba,,,,14257
CO-Adams,,,,70390
CO-Alamosa,,,,3400
CO-Arapahoe,,,,106622
CO-Archuleta,,,,4663
CO-Baca,,,,989
CO-Bent,,,,1191
CO-Boulder,,,,60579
CO-Broomfield,,,,12993
CO-Chaffee,,,,6073
CO-Cheyenne,,,,412
CO-Clear Creek,,,,2083
CO-Conejos,,,,2097
CO-Costilla,,,,1359
CO-Crowley,,,,910
CO-Custer,,,,2115
CO-Delta,,,,10509
CO-Denver,,,,99131
CO-Dolores,,,,621
CO-Douglas,,,,59890
CO-Eagle,,,,7567
CO-El Paso,,,,125799
CO-Elbert,,,,6020
CO-Fremont,,,,13737
CO-Garfield,,,,10391
CO-Gilpin,,,,1275
CO-Grand,,,,3152
CO-Gunnison,,,,2894
CO-Hinsdale,,,,263
CO-Huerfano,,,,2716
CO-Jackson,,,,367
CO-Jefferson,,,,120455
CO-Kiowa,,,,356
CO-Kit Carson,,,,1677
CO-La Plata,,,,13159
CO-Lake,,,,1163
CO-Larimer,,,,74900
CO-Las Animas,,,,4605
CO-Lincoln,,,,1121
CO-Logan,,,,4680
CO-Mesa,,,,40630
CO-Mineral,,,,337
CO-Moffat,,,,2684
CO-Montezuma,,,,7744
CO-Montrose,,,,13028
CO-Morgan,,,,5694
CO-Otero,,,,4972
CO-Ouray,,,,1734
CO-Park,,,,4376
CO-Phillips,,,,1100
CO-Pitkin,,,,3491
CO-Prowers,,,,2677
CO-Pueblo,,,,41555
CO-Rio Blanco,,,,1450
CO-Rio Grande,,,,3458
CO-Routt,,,,4964
CO-Saguache,,,,1676
CO-San Juan,,,,182
CO-San Miguel,,,,1317
CO-Sedgwick,,,,780
CO-Summit,,,,4254
CO-Teller,,,,7502
CO-UNKNOWN,,,,*
CO-Washington,,,,1189
CO-Weld,,,,54538
CO-Yuma,,,,2085
CT-Capitol,,,,205490
CT-Greater Bridgeport,,,,45377
CT-Lower Connecticut River Valley,,,,44900
CT-Naugatuck Valley,,,,99419
CT-Northeastern Connecticut,,,,22202
CT-Northwest Hills,,,,30383
CT-South Central Connecticut,,,,121083
CT-Southeastern Connecticut,,,,64303
CT-UNKNOWN,,,,*
CT-Western Connecticut,,,,113650
DC-District of Columbia,,,,99522
DE-Kent,,,,43285
DE-New Castle,,,,115247
DE-Sussex,,,,89749
DE-UNKNOWN,,,,*
FL-Alachua,,,,52503
FL-Baker,,,,5634
FL-Bay,,,,42551
FL-Bradford,,,,6422
FL-Brevard,,,,179939
FL-Broward,,,,372066
FL-Calhoun,,,,3309
FL-Charlotte,,,,80242
FL-Citrus,,,,67182
FL-Clay,,,,50547
FL-Collier,,,,120371
FL-Columbia,,,,18696
FL-DeSoto,,,,8077
FL-Dixie,,,,4899
FL-Duval,,,,190777
FL-Escambia,,,,77384
FL-Flagler,,,,46286
FL-Franklin,,,,3575
FL-Gadsden,,,,11441
FL-Gilchrist,,,,4766
FL-Glades,,,,2956
FL-Gulf,,,,4371
FL-Hamilton,,,,3384
FL-Hardee,,,,4710
FL-Hendry,,,,7146
FL-Hernando,,,,64869
FL-Highlands,,,,37833
FL-Hillsborough,,,,272584
FL-Holmes,,,,4855
FL-Indian River,,,,62398
FL-Jackson,,,,12257
FL-Jefferson,,,,4172
FL-Lafayette,,,,1592
FL-Lake,,,,122428
FL-Lee,,,,224623
FL-Leon,,,,52826
FL-Levy,,,,14032
FL-Liberty,,,,1562
FL-Madison,,,,5048
FL-Manatee,,,,121811
FL-Marion,,,,134760
FL-Martin,,,,52659
FL-Miami-Dade,,,,519469
FL-Monroe,,,,19191
FL-Nassau,,,,28165
FL-Okaloosa,,,,46486
FL-Okeechobee,,,,9632
FL-Orange,,,,219597
FL-Osceola,,,,72419
FL-Palm Beach,,,,368151
FL-Pasco,,,,152233
FL-Pinellas,,,,271325
FL-Polk,,,,180949
FL-Putnam,,,,22024
FL-Santa Rosa,,,,42351
FL-Sarasota,,,,166143
FL-Seminole,,,,91235
FL-St. Johns,,,,73732
FL-St. Lucie,,,,96672
FL-Sumter,,,,86494
FL-Suwannee,,,,12594
FL-Taylor,,,,5492
FL-UNKNOWN,,,,*
FL-Union,,,,2541
FL-Volusia,,,,171051
FL-Wakulla,,,,7675
FL-Walton,,,,19520
FL-Washington,,,,6154
GA-Appling,,,,4227
GA-Atkinson,,,,1488
GA-Bacon,,,,2294
GA-Baker,,,,758
GA-Baldwin,,,,9814
GA-Banks,,,,4215
GA-Barrow,,,,15811
GA-Bartow,,,,21550
GA-Ben Hill,,,,4091
GA-Berrien,,,,4173
GA-Bibb,,,,33881
GA-Bleckley,,,,2817
GA-Brantley,,,,3873
GA-Brooks,,,,4264
GA-Bryan,,,,7398
GA-Bulloch,,,,12333
GA-Burke,,,,5332
GA-Butts,,,,5523
GA-Calhoun,,,,1310
GA-Camden,,,,10957
GA-Candler,,,,2517
GA-Carroll,,,,24319
GA-Catoosa,,,,14971
GA-Charlton,,,,2410
GA-Chatham,,,,57307
GA-Chattahoochee,,,,709
GA-Chattooga,,,,6290
GA-Cherokee,,,,52529
GA-Clarke,,,,19248
GA-Clay,,,,852
GA-Clayton,,,,40310
GA-Clinch,,,,1548
GA-Cobb,,,,119856
GA-Coffee,,,,7868
GA-Colquitt,,,,9366
GA-Columbia,,,,28940
GA-Cook,,,,3753
GA-Coweta,,,,28816
GA-Crawford,,,,2859
GA-Crisp,,,,4769
GA-Dade,,,,4039
GA-Dawson,,,,6749
GA-DeKalb,,,,118403
GA-Decatur,,,,6241
GA-Dodge,,,,4542
GA-Dooly,,,,2301
GA-Dougherty,,,,18695
GA-Douglas,,,,23504
GA-Early,,,,2525
GA-Echols,,,,586
GA-Effingham,,,,11528
GA-Elbert,,,,5574
GA-Emanuel,,,,5303
GA-Evans,,,,2370
GA-Fannin,,,,9209
GA-Fayette,,,,28129
GA-Floyd,,,,22373
GA-Forsyth,,,,36360
GA-Franklin,,,,6009
GA-Fulton,,,,156103
GA-Gilmer,,,,9849
GA-Glascock,,,,685
GA-Glynn,,,,21646
GA-Gordon,,,,12103
GA-Grady,,,,5781
GA-Greene,,,,7284
GA-Gwinnett,,,,127076
GA-Habersham,,,,11123
GA-Hall,,,,40695
GA-Hancock,,,,2489
GA-Haralson,,,,6785
GA-Harris,,,,8340
GA-Hart,,,,7353
GA-Heard,,,,2483
GA-Henry,,,,40581
GA-Houston,,,,29756
GA-Irwin,,,,2054
GA-Jackson,,,,17235
GA-Jasper,,,,3532
GA-Jeff Davis,,,,2978
GA-Jefferson,,,,4126
GA-Jenkins,,,,1925
GA-Johnson,,,,2074
GA-Jones,,,,6080
GA-Lamar,,,,4592
GA-Lanier,,,,1816
GA-Laurens,,,,11661
GA-Lee,,,,5798
GA-Liberty,,,,9338
GA-Lincoln,,,,2431
GA-Long,,,,2205
GA-Lowndes,,,,21454
GA-Lumpkin,,,,7718
GA-Macon,,,,2780
GA-Madison,,,,7252
GA-Marion,,,,1834
GA-McDuffie,,,,5452
GA-McIntosh,,,,3724
GA-Meriwether,,,,5890
GA-Miller,,,,1531
GA-Mitchell,,,,4874
GA-Monroe,,,,6855
GA-Montgomery,,,,1889
GA-Morgan,,,,5297
GA-Murray,,,,8451
GA-Muscogee,,,,39127
GA-Newton,,,,21618
GA-Oconee,,,,8108
GA-Oglethorpe,,,,3699
GA-Paulding,,,,26086
GA-Peach,,,,6609
GA-Pickens,,,,10773
GA-Pierce,,,,4549
GA-Pike,,,,4154
GA-Polk,,,,9640
GA-Pulaski,,,,2274
GA-Putnam,,,,6611
GA-Quitman,,,,813
GA-Rabun,,,,5873
GA-Randolph,,,,1755
GA-Richmond,,,,40835
GA-Rockdale,,,,17758
GA-Schley,,,,888
GA-Screven,,,,3717
GA-Seminole,,,,2424
GA-Spalding,,,,16760
GA-Stephens,,,,7582
GA-Stewart,,,,1170
GA-Sumter,,,,6630
GA-Talbot,,,,1822
GA-Taliaferro,,,,521
GA-Tattnall,,,,4406
GA-Taylor,,,,1965
GA-Telfair,,,,2642
GA-Terrell,,,,2388
GA-Thomas,,,,11340
GA-Tift,,,,8498
GA-Toombs,,,,6108
GA-Towns,,,,5704
GA-Treutlen,,,,1480
GA-Troup,,,,14616
GA-Turner,,,,2057
GA-Twiggs,,,,2465
GA-UNKNOWN,,,,*
GA-Union,,,,10636
GA-Upson,,,,6977
GA-Walker,,,,16509
GA-Walton,,,,21458
GA-Ware,,,,8680
GA-Warren,,,,1590
GA-Washington,,,,4857
GA-Wayne,,,,6565
GA-Webster,,,,617
GA-Wheeler,,,,1190
GA-White,,,,8294
GA-Whitfield,,,,18999
GA-Wilcox,,,,1852
GA-Wilkes,,,,2939
GA-Wilkinson,,,,2535
GA-Worth,,,,4731
HI-Hawaii,,,,53037
HI-Honolulu,,,,207249
HI-Kalawao,,,,*
HI-Kauai,,,,17798
HI-Maui,,,,35871
HI-UNKNOWN,,,,*
IA-Adair,,,,1988
IA-Adams,,,,1111
IA-Allamakee,,,,3767
IA-Appanoose,,,,3564
IA-Audubon,,,,1654
IA-Benton,,,,6017
IA-Black Hawk,,,,29116
IA-Boone,,,,6448
IA-Bremer,,,,5981
IA-Buchanan,,,,4824
IA-Buena Vista,,,,3934
IA-Butler,,,,4056
IA-Calhoun,,,,2767
IA-Carroll,,,,5397
IA-Cass,,,,3922
IA-Cedar,,,,4482
IA-Cerro Gordo,,,,12144
IA-Cherokee,,,,3300
IA-Chickasaw,,,,3084
IA-Clarke,,,,2252
IA-Clay,,,,4427
IA-Clayton,,,,5104
IA-Clinton,,,,11766
IA-Crawford,,,,3567
IA-Dallas,,,,15457
IA-Davis,,,,1872
IA-Decatur,,,,1944
IA-Delaware,,,,4330
IA-Des Moines,,,,10312
IA-Dickinson,,,,5854
IA-Dubuque,,,,23120
IA-Emmet,,,,2522
IA-Fayette,,,,5401
IA-Floyd,,,,4165
IA-Franklin,,,,2561
IA-Fremont,,,,1944
IA-Greene,,,,2547
IA-Grundy,,,,3141
IA-Guthrie,,,,3084
IA-Hamilton,,,,3648
IA-Hancock,,,,2820
IA-Hardin,,,,4559
IA-Harrison,,,,3672
IA-Henry,,,,4793
IA-Howard,,,,2441
IA-Humboldt,,,,2480
IA-Ida,,,,1805
IA-Iowa,,,,4065
IA-Jackson,,,,5371
IA-Jasper,,,,9017
IA-Jefferson,,,,4948
IA-Johnson,,,,24764
IA-Jones,,,,5076
IA-Keokuk,,,,2672
IA-Kossuth,,,,4151
IA-Lee,,,,9060
IA-Linn,,,,47152
IA-Louisa,,,,2581
IA-Lucas,,,,2305
IA-Lyon,,,,2578
IA-Madison,,,,3701
IA-Mahaska,,,,5007
IA-Marion,,,,7938
IA-Marshall,,,,9118
IA-Mills,,,,3534
IA-Mitchell,,,,2650
IA-Monona,,,,2509
IA-Monroe,,,,1932
IA-Montgomery,,,,2892
IA-Muscatine,,,,9489
IA-O'Brien,,,,3605
IA-Osceola,,,,1540
IA-Page,,,,4238
IA-Palo Alto,,,,2453
IA-Plymouth,,,,5894
IA-Pocahontas,,,,1987
IA-Polk,,,,88103
IA-Pottawattamie,,,,21973
IA-Poweshiek,,,,4665
IA-Ringgold,,,,1369
IA-Sac,,,,2762
IA-Scott,,,,37119
IA-Shelby,,,,3336
IA-Sioux,,,,6713
IA-Story,,,,15841
IA-Tama,,,,4250
IA-Taylor,,,,1629
IA-UNKNOWN,,,,*
IA-Union,,,,3161
IA-Van Buren,,,,1981
IA-Wapello,,,,8135
IA-Warren,,,,11054
IA-Washington,,,,5476
IA-Wayne,,,,1698
