County,PQI12_UTI_AGE_LT_65,PQI11_BCTRL_PNA_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40,BENES_TOTAL_CNT
KS-Morris,,,,1560
KS-Morton,,,,593
KS-Nemaha,,,,2460
KS-Neosho,,,,3876
KS-Ness,,,,852
KS-Norton,,,,1242
KS-Osage,,,,4357
KS-Osborne,,,,1060
KS-Ottawa,,,,1497
KS-Pawnee,,,,1592
KS-Phillips,,,,1531
KS-Pottawatomie,,,,4903
KS-Pratt,,,,2285
KS-Rawlins,,,,740
KS-Reno,,,,15448
KS-Republic,,,,1480
KS-Rice,,,,2246
KS-Riley,,,,9266
KS-Rooks,,,,1386
KS-Rush,,,,934
KS-Russell,,,,1987
KS-Saline,,,,12635
KS-Scott,,,,1077
KS-Sedgwick,,,,101737
KS-Seward,,,,2616
KS-Shawnee,,,,42525
KS-Sheridan,,,,652
KS-Sherman,,,,1438
KS-Smith,,,,1224
KS-Stafford,,,,1074
KS-Stanton,,,,379
KS-Stevens,,,,922
KS-Sumner,,,,5537
KS-Thomas,,,,1707
KS-Trego,,,,877
KS-UNKNOWN,,,,*
KS-Wabaunsee,,,,1771
KS-Wallace,,,,376
KS-Washington,,,,1507
KS-Wichita,,,,462
KS-Wilson,,,,2439
KS-Woodson,,,,901
KS-Wyandotte,,,,26407
KY-Adair,,,,4742
KY-Allen,,,,4991
KY-Anderson,,,,5321
KY-Ballard,,,,2223
KY-Barren,,,,11031
KY-Bath,,,,3125
KY-Bell,,,,6811
KY-Boone,,,,24868
KY-Bourbon,,,,4896
KY-Boyd,,,,12463
KY-Boyle,,,,7564
KY-Bracken,,,,2189
KY-Breathitt,,,,3467
KY-Breckinridge,,,,5384
KY-Bullitt,,,,18066
KY-Butler,,,,3120
KY-Caldwell,,,,3521
KY-Calloway,,,,8755
KY-Campbell,,,,19366
KY-Carlisle,,,,1291
KY-Carroll,,,,2483
KY-Carter,,,,7266
KY-Casey,,,,4163
KY-Christian,,,,12331
KY-Clark,,,,8911
KY-Clay,,,,4953
KY-Clinton,,,,2637
KY-Crittenden,,,,2279
KY-Cumberland,,,,1967
KY-Daviess,,,,24108
KY-Edmonson,,,,3068
KY-Elliott,,,,1418
KY-Estill,,,,3817
KY-Fayette,,,,55820
KY-Fleming,,,,3771
KY-Floyd,,,,10450
KY-Franklin,,,,15220
KY-Fulton,,,,1808
KY-Gallatin,,,,1790
KY-Garrard,,,,4386
KY-Grant,,,,5496
KY-Graves,,,,9119
KY-Grayson,,,,6895
KY-Green,,,,3071
KY-Greenup,,,,9953
KY-Hancock,,,,2187
KY-Hardin,,,,23061
KY-Harlan,,,,7438
KY-Harrison,,,,4811
KY-Hart,,,,4627
KY-Henderson,,,,11077
KY-Henry,,,,4035
KY-Hickman,,,,1283
KY-Hopkins,,,,11531
KY-Jackson,,,,3420
KY-Jefferson,,,,163022
KY-Jessamine,,,,11220
KY-Johnson,,,,6260
KY-Kenton,,,,32765
KY-Knott,,,,3933
KY-Knox,,,,7911
KY-Larue,,,,3664
KY-Laurel,,,,14847
KY-Lawrence,,,,4195
KY-Lee,,,,1852
KY-Leslie,,,,2933
KY-Letcher,,,,6190
KY-Lewis,,,,3408
KY-Lincoln,,,,6353
KY-Livingston,,,,2771
KY-Logan,,,,6751
KY-Lyon,,,,2533
KY-Madison,,,,19122
KY-Magoffin,,,,3357
KY-Marion,,,,4615
KY-Marshall,,,,9273
KY-Martin,,,,2797
KY-Mason,,,,4360
KY-McCracken,,,,17599
KY-McCreary,,,,4035
KY-McLean,,,,2515
KY-Meade,,,,6061
KY-Menifee,,,,1856
KY-Mercer,,,,5838
KY-Metcalfe,,,,2787
KY-Monroe,,,,2821
KY-Montgomery,,,,6455
KY-Morgan,,,,3248
KY-Muhlenberg,,,,8030
KY-Nelson,,,,11292
KY-Nicholas,,,,1797
KY-Ohio,,,,5953
KY-Oldham,,,,11797
KY-Owen,,,,2544
KY-Owsley,,,,1192
KY-Pendleton,,,,3516
KY-Perry,,,,7091
KY-Pike,,,,16807
KY-Powell,,,,3351
KY-Pulaski,,,,18394
KY-Robertson,,,,618
KY-Rockcastle,,,,4313
KY-Rowan,,,,5186
KY-Russell,,,,4996
KY-Scott,,,,10084
KY-Shelby,,,,10063
KY-Simpson,,,,4488
KY-Spencer,,,,4185
KY-Taylor,,,,6576
KY-Todd,,,,2687
KY-Trigg,,,,4185
KY-Trimble,,,,2134
KY-UNKNOWN,,,,*
KY-Union,,,,3413
KY-Warren,,,,23887
KY-Washington,,,,3015
KY-Wayne,,,,5465
KY-Webster,,,,3297
KY-Whitley,,,,9329
KY-Wolfe,,,,2014
KY-Woodford,,,,6636
LA-Acadia,,,,13173
LA-Allen,,,,4830
LA-Ascension,,,,21199
LA-Assumption,,,,5343
LA-Avoyelles,,,,9471
LA-Beauregard,,,,7966
LA-Bienville,,,,3582
LA-Bossier,,,,23889
LA-Caddo,,,,54071
LA-Calcasieu,,,,39504
LA-Caldwell,,,,2436
LA-Cameron,,,,1160
LA-Catahoula,,,,2496
LA-Claiborne,,,,3654
LA-Concordia,,,,4455
LA-DeSoto,,,,6654
LA-East Baton Rouge,,,,83977
LA-East Carroll,,,,1405
LA-East Feliciana,,,,4707
LA-Evangeline,,,,7479
LA-Franklin,,,,4813
LA-Grant,,,,4553
LA-Iberia,,,,15984
LA-Iberville,,,,6874
LA-Jackson,,,,3832
LA-Jefferson,,,,95478
LA-Jefferson Davis,,,,7182
LA-LaSalle,,,,3279
LA-Lafayette,,,,46516
LA-Lafourche,,,,20417
LA-Lincoln,,,,8210
LA-Livingston,,,,25149
LA-Madison,,,,2138
LA-Morehouse,,,,6854
LA-Natchitoches,,,,8259
LA-Orleans,,,,69874
LA-Ouachita,,,,31358
LA-Plaquemines,,,,4105
LA-Pointe Coupee,,,,5564
LA-Rapides,,,,29724
LA-Red River,,,,1884
LA-Richland,,,,4871
LA-Sabine,,,,5880
LA-St. Bernard,,,,7543
LA-St. Charles,,,,10308
LA-St. Helena,,,,2859
LA-St. James,,,,4916
LA-St. John the Baptist,,,,8872
LA-St. Landry,,,,19981
LA-St. Martin,,,,11985
LA-St. Mary,,,,11642
LA-St. Tammany,,,,61207
LA-Tangipahoa,,,,27175
LA-Tensas,,,,1238
LA-Terrebonne,,,,22452
LA-UNKNOWN,,,,*
LA-Union,,,,5823
LA-Vermilion,,,,12681
LA-Vernon,,,,8353
LA-Washington,,,,11305
LA-Webster,,,,10057
LA-West Baton Rouge,,,,5293
LA-West Carroll,,,,2795
LA-West Feliciana,,,,2451
LA-Winn,,,,3153
MA-Barnstable,,,,86799
MA-Berkshire,,,,38566
MA-Bristol,,,,134090
MA-Dukes,,,,5673
MA-Essex,,,,178762
MA-Franklin,,,,21177
MA-Hampden,,,,111398
MA-Hampshire,,,,38860
MA-Middlesex,,,,302621
MA-Nantucket,,,,2362
MA-Norfolk,,,,148654
MA-Plymouth,,,,128506
MA-Suffolk,,,,114743
MA-UNKNOWN,,,,*
MA-Worcester,,,,179173
MD-Allegany,,,,17691
MD-Anne Arundel,,,,108231
MD-Baltimore,,,,176493
MD-Baltimore City,,,,105059
MD-Calvert,,,,18648
MD-Caroline,,,,7388
MD-Carroll,,,,37422
MD-Cecil,,,,21849
MD-Charles,,,,28294
MD-Dorchester,,,,9107
MD-Frederick,,,,50797
MD-Garrett,,,,7935
MD-Harford,,,,55359
MD-Howard,,,,56613
MD-Kent,,,,6352
MD-Montgomery,,,,192671
MD-Prince George's,,,,150852
MD-Queen Anne's,,,,12512
MD-Somerset,,,,5631
MD-St. Mary's,,,,19518
MD-Talbot,,,,12366
MD-UNKNOWN,,,,*
MD-Washington,,,,34455
MD-Wicomico,,,,22267
MD-Worcester,,,,17004
ME-Androscoggin,,,,27323
ME-Aroostook,,,,21828
ME-Cumberland,,,,75613
ME-Franklin,,,,9079
ME-Hancock,,,,17526
ME-Kennebec,,,,35266
ME-Knox,,,,13509
ME-Lincoln,,,,12615
ME-Oxford,,,,17885
ME-Penobscot,,,,41110
ME-Piscataquis,,,,6012
ME-Sagadahoc,,,,11061
ME-Somerset,,,,15561
ME-UNKNOWN,,,,*
ME-Waldo,,,,12668
ME-Washington,,,,10477
ME-York,,,,59579
MI-Alcona,,,,4677
MI-Alger,,,,2933
MI-Allegan,,,,27063
MI-Alpena,,,,9668
MI-Antrim,,,,8438
MI-Arenac,,,,5346
MI-Baraga,,,,2347
MI-Barry,,,,15236
MI-Bay,,,,29138
MI-Benzie,,,,6221
MI-Berrien,,,,39739
MI-Branch,,,,10632
MI-Calhoun,,,,32566
MI-Cass,,,,13839
MI-Charlevoix,,,,8570
MI-Cheboygan,,,,8953
MI-Chippewa,,,,8975
MI-Clare,,,,10411
MI-Clinton,,,,17509
MI-Crawford,,,,4506
MI-Delta,,,,11710
MI-Dickinson,,,,7678
MI-Eaton,,,,26664
MI-Emmet,,,,10430
MI-Genesee,,,,97804
MI-Gladwin,,,,8913
MI-Gogebic,,,,4762
MI-Grand Traverse,,,,25599
MI-Gratiot,,,,9424
MI-Hillsdale,,,,11872
MI-Houghton,,,,8188
MI-Huron,,,,10335
MI-Ingham,,,,53194
MI-Ionia,,,,13229
MI-Iosco,,,,9753
MI-Iron,,,,4295
MI-Isabella,,,,12515
MI-Jackson,,,,38515
MI-Kalamazoo,,,,54615
MI-Kalkaska,,,,5282
MI-Kent,,,,122709
MI-Keweenaw,,,,859
MI-Lake,,,,4401
MI-Lapeer,,,,22254
MI-Leelanau,,,,8382
MI-Lenawee,,,,25207
MI-Livingston,,,,45131
MI-Luce,,,,1775
MI-Mackinac,,,,3971
MI-Macomb,,,,197295
MI-Manistee,,,,8537
MI-Marquette,,,,16909
MI-Mason,,,,9349
MI-Mecosta,,,,10715
MI-Menominee,,,,7128
MI-Midland,,,,20701
MI-Missaukee,,,,4304
MI-Monroe,,,,37987
MI-Montcalm,,,,16071
MI-Montmorency,,,,4264
MI-Muskegon,,,,43167
MI-Newaygo,,,,13477
MI-Oakland,,,,274261
MI-Oceana,,,,7647
MI-Ogemaw,,,,7480
MI-Ontonagon,,,,2555
MI-Osceola,,,,6709
MI-Oscoda,,,,3263
MI-Otsego,,,,7296
MI-Ottawa,,,,60319
MI-Presque Isle,,,,5386
MI-Roscommon,,,,10361
MI-Saginaw,,,,48927
MI-Sanilac,,,,11697
MI-Schoolcraft,,,,2958
MI-Shiawassee,,,,17691
MI-St. Clair,,,,41747
MI-St. Joseph,,,,14268
MI-Tuscola,,,,14843
MI-UNKNOWN,,,,*
MI-Van Buren,,,,19354
MI-Washtenaw,,,,68205
MI-Wayne,,,,355133
MI-Wexford,,,,9249
MN-Aitkin,,,,6271
MN-Anoka,,,,67205
MN-Becker,,,,9509
MN-Beltrami,,,,10246
MN-Benton,,,,8323
MN-Big Stone,,,,1579
MN-Blue Earth,,,,13183
MN-Brown,,,,6903
MN-Carlton,,,,8817
MN-Carver,,,,18403
MN-Cass,,,,9974
MN-Chippewa,,,,3066
MN-Chisago,,,,12407
MN-Clay,,,,11458
MN-Clearwater,,,,2239
MN-Cook,,,,1923
MN-Cottonwood,,,,3136
MN-Crow Wing,,,,20013
MN-Dakota,,,,82612
MN-Dodge,,,,4032
MN-Douglas,,,,11828
MN-Faribault,,,,4002
MN-Fillmore,,,,5528
MN-Freeborn,,,,8401
MN-Goodhue,,,,12104
MN-Grant,,,,1699
MN-Hennepin,,,,223960
MN-Houston,,,,5172
MN-Hubbard,,,,6722
MN-Isanti,,,,9025
MN-Itasca,,,,13897
MN-Jackson,,,,2574
MN-Kanabec,,,,4343
MN-Kandiyohi,,,,10773
MN-Kittson,,,,1238
MN-Koochiching,,,,3968
MN-Lac qui Parle,,,,1979
MN-Lake,,,,3445
MN-Lake of the Woods,,,,1265
MN-Le Sueur,,,,6401
MN-Lincoln,,,,1613
MN-Lyon,,,,5425
MN-Mahnomen,,,,1252
MN-Marshall,,,,2337
MN-Martin,,,,5810
MN-McLeod,,,,8685
MN-Meeker,,,,5819
MN-Mille Lacs,,,,6841
MN-Morrison,,,,8944
MN-Mower,,,,9074
MN-Murray,,,,2490
MN-Nicollet,,,,6920
MN-Nobles,,,,4229
MN-Norman,,,,1748
MN-Olmsted,,,,31514
MN-Otter Tail,,,,18078
MN-Pennington,,,,3158
MN-Pine,,,,8155
MN-Pipestone,,,,2360
MN-Polk,,,,7230
MN-Pope,,,,3369
MN-Ramsey,,,,100198
MN-Red Lake,,,,1004
MN-Redwood,,,,3841
MN-Renville,,,,3820
MN-Rice,,,,13189
MN-Rock,,,,2359
MN-Roseau,,,,3638
MN-Scott,,,,22883
MN-Sherburne,,,,16948
MN-Sibley,,,,3428
MN-St. Louis,,,,51975
MN-Stearns,,,,31865
MN-Steele,,,,8645
MN-Stevens,,,,1981
MN-Swift,,,,2509
MN-Todd,,,,6281
MN-Traverse,,,,1042
MN-UNKNOWN,,,,*
MN-Wabasha,,,,6236
MN-Wadena,,,,4041
MN-Waseca,,,,4436
MN-Washington,,,,54669
MN-Watonwan,,,,2569
MN-Wilkin,,,,1583
MN-Winona,,,,11258
MN-Wright,,,,24545
MN-Yellow Medicine,,,,2539
MO-Adair,,,,5130
MO-Andrew,,,,4100
MO-Atchison,,,,1520
MO-Audrain,,,,6039
MO-Barry,,,,9412
MO-Barton,,,,3012
MO-Bates,,,,4081
MO-Benton,,,,7664
MO-Bollinger,,,,2930
MO-Boone,,,,31625
MO-Buchanan,,,,19148
MO-Butler,,,,11663
MO-Caldwell,,,,2273
MO-Callaway,,,,10168
MO-Camden,,,,14549
MO-Cape Girardeau,,,,17898
MO-Carroll,,,,2486
MO-Carter,,,,1550
MO-Cass,,,,24027
MO-Cedar,,,,4296
MO-Chariton,,,,2137
MO-Christian,,,,19446
MO-Clark,,,,1630
MO-Clay,,,,47603
MO-Clinton,,,,5181
MO-Cole,,,,17039
MO-Cooper,,,,4175
MO-Crawford,,,,6327
MO-Dade,,,,2320
MO-Dallas,,,,4815
MO-Daviess,,,,2031
MO-DeKalb,,,,2350
MO-Dent,,,,4349
MO-Douglas,,,,2496
MO-Dunklin,,,,7235
MO-Franklin,,,,26493
MO-Gasconade,,,,4371
MO-Gentry,,,,1608
MO-Greene,,,,64861
MO-Grundy,,,,2581
MO-Harrison,,,,2328
MO-Henry,,,,6598
MO-Hickory,,,,2966
MO-Holt,,,,1262
MO-Howard,,,,2413
MO-Howell,,,,11429
MO-Iron,,,,3048
MO-Jackson,,,,136817
MO-Jasper,,,,26150
MO-Jefferson,,,,50068
MO-Johnson,,,,9399
MO-Knox,,,,995
MO-Laclede,,,,8997
MO-Lafayette,,,,8047
MO-Lawrence,,,,8917
MO-Lewis,,,,2442
MO-Lincoln,,,,12284
MO-Linn,,,,3311
MO-Livingston,,,,3691
MO-Macon,,,,4203
MO-Madison,,,,3431
MO-Maries,,,,2074
MO-Marion,,,,7129
MO-McDonald,,,,4858
MO-Mercer,,,,858
MO-Miller,,,,6101
MO-Mississippi,,,,3019
MO-Moniteau,,,,3225
MO-Monroe,,,,2352
MO-Montgomery,,,,3174
MO-Morgan,,,,6261
MO-New Madrid,,,,4192
MO-Newton,,,,13799
MO-Nodaway,,,,4428
MO-Oregon,,,,2699
MO-Osage,,,,2997
MO-Ozark,,,,3162
MO-Pemiscot,,,,3737
MO-Perry,,,,4771
MO-Pettis,,,,9438
MO-Phelps,,,,9883
MO-Pike,,,,4246
MO-Platte,,,,20046
MO-Polk,,,,7841
MO-Pulaski,,,,7453
MO-Putnam,,,,1328
MO-Ralls,,,,2824
MO-Randolph,,,,5738
MO-Ray,,,,5419
MO-Reynolds,,,,1641
MO-Ripley,,,,3598
MO-Saline,,,,5190
MO-Schuyler,,,,1048
MO-Scotland,,,,991
MO-Scott,,,,9625
MO-Shannon,,,,2092
MO-Shelby,,,,1693
MO-St. Charles,,,,83586
MO-St. Clair,,,,2879
MO-St. Francois,,,,16459
MO-St. Louis,,,,226240
MO-St. Louis City,,,,51088
MO-Ste. Genevieve,,,,4791
MO-Stoddard,,,,7928
MO-Stone,,,,11452
MO-Sullivan,,,,1497
MO-Taney,,,,16597
MO-Texas,,,,6867
MO-UNKNOWN,,,,*
MO-Vernon,,,,4957
MO-Warren,,,,8761
MO-Washington,,,,5897
MO-Wayne,,,,3326
MO-Webster,,,,8520
MO-Worth,,,,570
MO-Wright,,,,5347
MS-Adams,,,,7831
MS-Alcorn,,,,9187
MS-Amite,,,,3456
MS-Attala,,,,4483
MS-Benton,,,,2109
MS-Bolivar,,,,7449
MS-Calhoun,,,,3768
MS-Carroll,,,,2798
MS-Chickasaw,,,,4398
MS-Choctaw,,,,2300
MS-Claiborne,,,,1989
MS-Clarke,,,,4395
MS-Clay,,,,4989
MS-Coahoma,,,,5235
MS-Copiah,,,,6780
MS-Covington,,,,4588
MS-DeSoto,,,,32673
MS-Forrest,,,,15156
MS-Franklin,,,,2074
MS-George,,,,5506
MS-Greene,,,,2588
MS-Grenada,,,,5813
MS-Hancock,,,,12090
MS-Harrison,,,,45689
MS-Hinds,,,,46149
MS-Holmes,,,,4222
MS-Humphreys,,,,2046
MS-Issaquena,,,,252
MS-Itawamba,,,,5739
MS-Jackson,,,,31535
MS-Jasper,,,,4318
MS-Jefferson,,,,1876
MS-Jefferson Davis,,,,3157
MS-Jones,,,,15534
MS-Kemper,,,,2298
MS-Lafayette,,,,9714
MS-Lamar,,,,10782
MS-Lauderdale,,,,16326
MS-Lawrence,,,,3243
MS-Leake,,,,4788
MS-Lee,,,,18893
MS-Leflore,,,,6183
MS-Lincoln,,,,8021
MS-Lowndes,,,,12940
MS-Madison,,,,22158
MS-Marion,,,,6129
MS-Marshall,,,,8813
MS-Monroe,,,,9196
MS-Montgomery,,,,2850
MS-Neshoba,,,,6309
MS-Newton,,,,4911
MS-Noxubee,,,,2689
MS-Oktibbeha,,,,7830
MS-Panola,,,,8215
MS-Pearl River,,,,14168
MS-Perry,,,,3009
MS-Pike,,,,9469
MS-Pontotoc,,,,6975
MS-Prentiss,,,,5947
MS-Quitman,,,,1656
MS-Rankin,,,,30958
MS-Scott,,,,5862
MS-Sharkey,,,,1100
MS-Simpson,,,,6539
MS-Smith,,,,3604
MS-Stone,,,,4408
MS-Sunflower,,,,5367
MS-Tallahatchie,,,,2962
MS-Tate,,,,6401
MS-Tippah,,,,5488
MS-Tishomingo,,,,5362
MS-Tunica,,,,1961
MS-UNKNOWN,,,,*
MS-Union,,,,6548
MS-Walthall,,,,3616
MS-Warren,,,,10653
MS-Washington,,,,10997
MS-Wayne,,,,4671
MS-Webster,,,,2777
MS-Wilkinson,,,,2094
MS-Winston,,,,4733
MS-Yalobusha,,,,3860
MS-Yazoo,,,,5268
MT-Beaverhead,,,,2721
MT-Big Horn,,,,2041
MT-Blaine,,,,1247
MT-Broadwater,,,,1954
MT-Carbon,,,,3449
MT-Carter,,,,374
MT-Cascade,,,,19845
MT-Chouteau,,,,1486
MT-Custer,,,,2915
MT-Daniels,,,,500
MT-Dawson,,,,2192
MT-Deer Lodge,,,,3125
MT-Fallon,,,,639
MT-Fergus,,,,3462
MT-Flathead,,,,28140
MT-Gallatin,,,,19263
MT-Garfield,,,,308
MT-Glacier,,,,2268
MT-Golden Valley,,,,304
MT-Granite,,,,1020
MT-Hill,,,,3330
MT-Jefferson,,,,3670
MT-Judith Basin,,,,667
MT-Lake,,,,9092
MT-Lewis and Clark,,,,17993
MT-Liberty,,,,520
MT-Lincoln,,,,8376
MT-Madison,,,,2865
MT-McCone,,,,508
MT-Meagher,,,,651
MT-Mineral,,,,1695
MT-Missoula,,,,25928
MT-Musselshell,,,,1705
MT-Park,,,,4750
MT-Petroleum,,,,129
MT-Phillips,,,,1084
MT-Pondera,,,,1553
MT-Powder River,,,,450
MT-Powell,,,,1806
MT-Prairie,,,,448
MT-Ravalli,,,,15336
MT-Richland,,,,2276
MT-Roosevelt,,,,1837
MT-Rosebud,,,,1951
MT-Sanders,,,,4977
MT-Sheridan,,,,1041
MT-Silver Bow,,,,8875
MT-Stillwater,,,,2834
MT-Sweet Grass,,,,1106
MT-Teton,,,,1718
MT-Toole,,,,1071
MT-Treasure,,,,248
MT-UNKNOWN,,,,*
MT-Valley,,,,1944
MT-Wheatland,,,,630
MT-Wibaux,,,,253
MT-Yellowstone,,,,36772
NC-Alamance,,,,37713
NC-Alexander,,,,9086
NC-Alleghany,,,,3800
NC-Anson,,,,5878
NC-Ashe,,,,8732
NC-Avery,,,,5181
NC-Beaufort,,,,14632
NC-Bertie,,,,5698
NC-Bladen,,,,8533
NC-Brunswick,,,,61859
NC-Buncombe,,,,68196
NC-Burke,,,,23327
NC-Cabarrus,,,,38779
NC-Caldwell,,,,21409
NC-Camden,,,,2291
NC-Carteret,,,,21928
NC-Caswell,,,,6286
NC-Catawba,,,,38423
NC-Chatham,,,,22099
NC-Cherokee,,,,10955
NC-Chowan,,,,4452
NC-Clay,,,,4620
NC-Cleveland,,,,25293
NC-Columbus,,,,14021
NC-Craven,,,,27648
NC-Cumberland,,,,60401
NC-Currituck,,,,6755
NC-Dare,,,,10987
NC-Davidson,,,,41058
NC-Davie,,,,11828
NC-Duplin,,,,11759
NC-Durham,,,,55079
NC-Edgecombe,,,,13541
NC-Forsyth,,,,82685
NC-Franklin,,,,15836
NC-Gaston,,,,49495
NC-Gates,,,,2843
NC-Graham,,,,2413
NC-Granville,,,,13287
NC-Greene,,,,4251
NC-Guilford,,,,108103
NC-Halifax,,,,14227
NC-Harnett,,,,23757
NC-Haywood,,,,19780
NC-Henderson,,,,37276
NC-Hertford,,,,5819
NC-Hoke,,,,8581
NC-Hyde,,,,1374
NC-Iredell,,,,40051
NC-Jackson,,,,9685
NC-Johnston,,,,39968
NC-Jones,,,,2978
NC-Lee,,,,14234
NC-Lenoir,,,,15363
NC-Lincoln,,,,22448
NC-Macon,,,,12989
NC-Madison,,,,6461
NC-Martin,,,,6879
NC-McDowell,,,,12828
NC-Mecklenburg,,,,161617
NC-Mitchell,,,,4788
NC-Montgomery,,,,6842
NC-Moore,,,,29545
NC-Nash,,,,24105
NC-New Hanover,,,,53911
NC-Northampton,,,,5886
NC-Onslow,,,,31539
NC-Orange,,,,27828
NC-Pamlico,,,,4575
NC-Pasquotank,,,,9652
NC-Pender,,,,15232
NC-Perquimans,,,,4436
NC-Person,,,,10655
NC-Pitt,,,,34673
NC-Polk,,,,7281
NC-Randolph,,,,33868
NC-Richmond,,,,10971
NC-Robeson,,,,26707
NC-Rockingham,,,,25616
NC-Rowan,,,,34338
NC-Rutherford,,,,17930
NC-Sampson,,,,14039
NC-Scotland,,,,8594
NC-Stanly,,,,15756
NC-Stokes,,,,12681
NC-Surry,,,,19595
NC-Swain,,,,4104
NC-Transylvania,,,,11226
NC-Tyrrell,,,,948
NC-UNKNOWN,,,,*
NC-Union,,,,40288
NC-Vance,,,,11154
NC-Wake,,,,176625
NC-Warren,,,,5747
NC-Washington,,,,3666
NC-Watauga,,,,10439
NC-Wayne,,,,26624
NC-Wilkes,,,,18994
NC-Wilson,,,,19193
NC-Yadkin,,,,9749
NC-Yancey,,,,5975
ND-Adams,,,,737
ND-Barnes,,,,2914
ND-Benson,,,,1189
ND-Billings,,,,204
ND-Bottineau,,,,1821
ND-Bowman,,,,862
ND-Burke,,,,543
ND-Burleigh,,,,20316
ND-Cass,,,,30036
ND-Cavalier,,,,1099
ND-Dickey,,,,1245
ND-Divide,,,,548
ND-Dunn,,,,830
ND-Eddy,,,,672
ND-Emmons,,,,1005
ND-Foster,,,,846
ND-Golden Valley,,,,466
ND-Grand Forks,,,,12214
ND-Grant,,,,712
ND-Griggs,,,,733
ND-Hettinger,,,,655
ND-Kidder,,,,680
ND-LaMoure,,,,1194
ND-Logan,,,,547
ND-McHenry,,,,1430
ND-McIntosh,,,,883
ND-McKenzie,,,,1332
ND-McLean,,,,2787
ND-Mercer,,,,2157
ND-Morton,,,,6973
ND-Mountrail,,,,1589
ND-Nelson,,,,1054
ND-Oliver,,,,448
ND-Pembina,,,,1949
ND-Pierce,,,,1148
ND-Ramsey,,,,2852
ND-Ransom,,,,1411
ND-Renville,,,,593
ND-Richland,,,,3808
ND-Rolette,,,,2403
ND-Sargent,,,,1021
ND-Sheridan,,,,431
ND-Sioux,,,,457
ND-Slope,,,,185
ND-Stark,,,,5583
ND-Steele,,,,498
ND-Stutsman,,,,5229
ND-Towner,,,,628
ND-Traill,,,,1883
ND-UNKNOWN,,,,*
ND-Walsh,,,,2794
ND-Ward,,,,11503
ND-Wells,,,,1262
ND-Williams,,,,4616
NE-Adams,,,,7361
NE-Antelope,,,,1687
NE-Arthur,,,,105
NE-Banner,,,,115
NE-Blaine,,,,133
NE-Boone,,,,1509
NE-Box Butte,,,,2753
NE-Boyd,,,,659
NE-Brown,,,,855
NE-Buffalo,,,,9654
NE-Burt,,,,2012
NE-Butler,,,,2032
NE-Cass,,,,6075
NE-Cedar,,,,2183
NE-Chase,,,,957
NE-Cherry,,,,1450
NE-Cheyenne,,,,2503
NE-Clay,,,,1613
NE-Colfax,,,,1774
NE-Cuming,,,,2219
NE-Custer,,,,2831
NE-Dakota,,,,3570
NE-Dawes,,,,1873
NE-Dawson,,,,4639
NE-Deuel,,,,581
NE-Dixon,,,,1436
NE-Dodge,,,,8743
NE-Douglas,,,,100089
NE-Dundy,,,,514
NE-Fillmore,,,,1579
NE-Franklin,,,,846
NE-Frontier,,,,613
NE-Furnas,,,,1457
NE-Gage,,,,5875
NE-Garden,,,,626
NE-Garfield,,,,510
NE-Gosper,,,,558
NE-Grant,,,,165
NE-Greeley,,,,645
NE-Hall,,,,11710
NE-Hamilton,,,,2270
NE-Harlan,,,,941
NE-Hayes,,,,222
NE-Hitchcock,,,,815
NE-Holt,,,,2782
NE-Hooker,,,,252
NE-Howard,,,,1662
NE-Jefferson,,,,2109
NE-Johnson,,,,1103
NE-Kearney,,,,1565
NE-Keith,,,,2390
NE-Keya Paha,,,,224
NE-Kimball,,,,1093
NE-Knox,,,,2434
NE-Lancaster,,,,58842
NE-Lincoln,,,,8568
NE-Logan,,,,179
NE-Loup,,,,193
NE-Madison,,,,7697
NE-McPherson,,,,112
NE-Merrick,,,,1944
NE-Morrill,,,,1245
NE-Nance,,,,922
NE-Nemaha,,,,1641
NE-Nuckolls,,,,1422
NE-Otoe,,,,3917
NE-Pawnee,,,,794
NE-Perkins,,,,723
NE-Phelps,,,,2268
NE-Pierce,,,,1666
NE-Platte,,,,7187
NE-Polk,,,,1395
NE-Red Willow,,,,2682
NE-Richardson,,,,2308
NE-Rock,,,,412
NE-Saline,,,,2822
NE-Sarpy,,,,31254
NE-Saunders,,,,5007
NE-Scotts Bluff,,,,8923
NE-Seward,,,,3799
NE-Sheridan,,,,1475
NE-Sherman,,,,890
NE-Sioux,,,,302
NE-Stanton,,,,1194
NE-Thayer,,,,1505
NE-Thomas,,,,227
NE-Thurston,,,,1115
NE-UNKNOWN,,,,*
NE-Valley,,,,1197
NE-Washington,,,,4818
NE-Wayne,,,,1650
NE-Webster,,,,948
NE-Wheeler,,,,218
NE-York,,,,3435
NH-Belknap,,,,20829
NH-Carroll,,,,18657
NH-Cheshire,,,,21515
NH-Coos,,,,11071
NH-Grafton,,,,25012
NH-Hillsborough,,,,91869
NH-Merrimack,,,,39807
NH-Rockingham,,,,79620
NH-Strafford,,,,29651
NH-Sullivan,,,,12628
NH-UNKNOWN,,,,*
NJ-Atlantic,,,,65478
NJ-Bergen,,,,190321
NJ-Burlington,,,,100977
NJ-Camden,,,,105680
NJ-Cape May,,,,31154
NJ-Cumberland,,,,30881
NJ-Essex,,,,128562
NJ-Gloucester,,,,63998
NJ-Hudson,,,,88092
NJ-Hunterdon,,,,30730
NJ-Mercer,,,,71822
NJ-Middlesex,,,,154468
