county_fips,State,County,food_access_score,PovertyRate,MedianFamilyIncome,lapop1share,lalowi1share,vehicle_barrier_rate,Pop2010,TractHUNV,state_abbrev,county_label_medicare,BENES_TOTAL_CNT,PQI03_DBTS_AGE_LT_65,PQI05_COPD_ASTHMA_AGE_40_64,PQI07_HYPRTNSN_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40
01001,Alabama,Autauga County,0.4302398341909816,16.125,69337.5,73.33166666666666,25.405,0.02275360209090375,4547.583333333333,99.25,AL,Autauga,12391,,,,
01003,Alabama,Baldwin County,0.4165483436857573,11.845161290322581,72665.74193548386,74.59935483870967,22.606451612903225,0.01575002570045109,5879.5161290322585,87.25806451612904,AL,Baldwin,64196,,,,
01005,Alabama,Barbour County,0.46552837430514693,29.311111111111114,44792.444444444445,67.18333333333334,32.888888888888886,0.03148933125815576,3050.777777777778,94.33333333333333,AL,Barbour,6505,,,,
01007,Alabama,Bibb County,0.47431667912561826,12.174999999999999,60645.5,84.0075,30.0225,0.018505788008066848,5728.75,102.5,AL,Bibb,4955,,,,
01009,Alabama,Blount County,0.5011302179559652,14.855555555555554,60437.666666666664,88.71444444444444,32.12111111111111,0.015265734132351078,6369.111111111111,95.11111111111111,AL,Blount,13429,,,,
01011,Alabama,Bullock County,0.5787684000386651,30.666666666666668,39524.666666666664,89.65333333333332,44.28333333333333,0.0361068081937724,3638.0,141.0,AL,Bullock,2432,,,,
01013,Alabama,Butler County,0.4659520358222595,23.425,48274.375,71.5825,32.573750000000004,0.02524786150845571,2444.125,64.5,AL,Butler,5221,,,,
01015,Alabama,Calhoun County,0.39682813154684277,22.803571428571427,50331.642857142855,58.464285714285715,24.147142857142857,0.02763034315514307,4234.321428571428,92.82142857142857,AL,Calhoun,28769,,,,
01017,Alabama,Chambers County,0.4051756925729603,18.0,52413.444444444445,61.61666666666666,26.916666666666668,0.0326496835691645,3801.6666666666665,109.88888888888889,AL,Chambers,9361,,,,
01019,Alabama,Cherokee County,0.5306710729629854,15.633333333333335,51754.666666666664,91.28500000000001,38.04,0.017816570782987116,4331.5,72.5,AL,Cherokee,7977,,,,
01021,Alabama,Chilton County,0.5057086547135254,17.91111111111111,56950.88888888889,86.28777777777778,34.13444444444444,0.017863127517266444,4849.222222222223,91.44444444444444,AL,Chilton,10406,,,,
01023,Alabama,Choctaw County,0.5673663405117092,23.05,48448.5,91.305,44.785,0.03914442050640405,3464.75,135.5,AL,Choctaw,3959,,,,
01025,Alabama,Clarke County,0.554054577992104,27.72222222222222,49746.555555555555,87.47777777777777,41.528888888888886,0.03592048965552394,2870.3333333333335,106.33333333333333,AL,Clarke,6662,,,,
01027,Alabama,Clay County,0.4897110810102331,19.825,48673.0,79.6825,34.3075,0.014433680156154125,3483.0,54.5,AL,Clay,3847,,,,
01029,Alabama,Cleburne County,0.5056742594124342,18.925,52674.0,84.975,34.585,0.0154886369125032,3743.0,57.75,AL,Cleburne,3762,,,,
01031,Alabama,Coffee County,0.43886522025128555,16.053846153846152,62203.230769230766,75.36692307692307,24.929230769230767,0.022590010467146777,3686.3076923076924,86.6923076923077,AL,Coffee,11977,,,,
01033,Alabama,Colbert County,0.4051640413899506,17.292307692307695,56533.53846153846,66.12923076923076,22.238461538461536,0.027355129634484863,4036.230769230769,97.6923076923077,AL,Colbert,15108,,,,
01035,Alabama,Conecuh County,0.5172213309229223,22.02,41969.6,78.748,42.774,0.028322888749040563,2645.6,61.8,AL,Conecuh,3688,,,,
01037,Alabama,Coosa County,0.5189120698755844,14.0,46510.666666666664,89.99333333333334,35.78,0.015729874828205866,3846.3333333333335,60.666666666666664,AL,Coosa,3255,,,,
01039,Alabama,Covington County,0.41828531734635493,19.7,54289.92857142857,66.34285714285714,25.085714285714285,0.023120026602905987,2697.5,56.07142857142857,AL,Covington,10668,,,,
01041,Alabama,Crenshaw County,0.4899261285438272,16.150000000000002,54212.166666666664,80.615,36.25833333333333,0.025166753475154614,2317.6666666666665,55.333333333333336,AL,Crenshaw,3653,,,,
